428,Digital Image Computing Techniques and Applications,DICTA,CORE2013,B,No,0801,,
430,Discourse Anaphora and Anaphor Resolution Colloquium,DAARC,CORE2013,C,No,0801,,
448,Empirical Methods in Natural Language Processing,EMNLP,CORE2013,A,No,0801,,
452,ENVI and IDL Data Analysis and Visualization Symposium,VISualize,CORE2013,C,No,0801,,
458,Euro Virtual Reality,Euro VR,CORE2013,C,No,0801,,
460,Eurographics Symposium on Parallel Graphics and Visualization,EGPGV,CORE2013,B,No,0801,,
462,Eurographics/IEEE Symposium on Visualization,EuroVis,CORE2013,B,No,0801,,
468,European Association of Computational Linguistics,EACL,CORE2013,A,No,0801,,
472,European Conference on Ambient Intelligence,AmI,CORE2013,C,No,0801,,
473,European Conference on Artificial Intelligence,ECAI,CORE2013,A,No,0801,,
474,European Conference on Artificial Life,ECAL,CORE2013,B,No,0801,,
476,European Conference on Computational Learning Theory (Now in COLT),EuroCOLT,CORE2013,C,No,0801,,
479,European Conference on Computer Vision,ECCV,CORE2013,A,No,0801,,
481,European Conference on Genetic Programming,EUROGP,CORE2013,B,No,0801,,
486,European Conference on Machine Learning (Joined with PKDD from 2008),ECML,CORE2013,A,No,0801,,
494,Interspeech (combined EuroSpeech and ICSLP in 2000),Interspeech,CORE2013,A,No,0801,,
495,European Conference on Symbolic and Quantitative Approaches to Reasoning with Uncertainty,ECSQARU,CORE2013,C,No,0801,,
498,European Congress on Intelligent Techniques and Soft Computing,EUFIT,CORE2013,C,No,0801,,
499,European Graphics Conference,EUROGRAPH,CORE2013,A,No,0801,,
508,European Simulation Symposium,ESS,CORE2013,B,No,0801,,
512,European Symposium on Artificial Neural Networks,ESANN,CORE2013,B,No,0801,,
520,European Workshop on Modelling Autonomous Agents in a Multi-Agent World,MAAMAW,CORE2013,C,No,0801,,
521,European Workshop on Multi-Agent Systems,EUMAS,CORE2013,C,No,0801,,
534,Finite Differences-Finite Elements-Finite Volumes-Boundary Elements,F-and-B,CORE2013,C,No,0801,,
537,Flexible Query-Answering Systems,FQAS,CORE2013,C,No,0801,,
546,Foundations of Genetic Algorithms,FOGA,CORE2013,A*,No,0801,,
562,GeoVisualization and Information Visualization,GeoViz,CORE2013,C,No,0801,,
573,Graphics Interface,GI,CORE2013,B,No,0801,,
592,IberoAmerican Congress on Pattern Recognition,CIARP,CORE2013,C,Yes,0801,,
595,IEEE Automatic Speech Recognition and Understanding Workshop,ASRU,CORE2013,C,No,0801,,
604,IEEE Conference on Computer Vision and Pattern Recognition,CVPR,CORE2013,A,Yes,0801,,
623,IEEE Information Visualization Conference,IEEE InfoVis,CORE2013,A*,No,0801,0806,
627,IEEE International Conference on Adaptive and Intelligent Systems,ICAIS,CORE2013,C,No,0801,,
629,IEEE International Conference on Automatic Face and Gesture Recognition,FG,CORE2013,C,No,0801,,
633,IEEE International Conference on Cognitive Informatics,ICCI,CORE2013,C,No,0801,,
635,IEEE International Conference on Computational Cybernetics,ICCC,CORE2013,C,No,0801,,
636,IEEE International Conference on Computational Intelligence for Measurement Systems and Applications,CIMSA,CORE2013,C,No,0801,,
638,IEEE International Conference on Computer Vision,ICCV,CORE2013,A*,Yes,0801,,
641,IEEE International Conference on Cybernetics and Intelligent Systems,CIS,CORE2013,C,No,0801,,
649,IEEE International Conference on Fuzzy Systems,FUZZ-IEEE,CORE2013,A,No,0801,,
651,IEEE International Conference on Granular Computing,GrC,CORE2013,C,No,0801,,
654,IEEE International Conference on Image Processing,ICIP,CORE2013,B,No,0801,,
656,IEEE International Conference on Information and Automation,IEEE ICIA,CORE2013,C,No,0801,,
659,IEEE International Conference on Intelligence for Homeland Security and Personal Safety,CIHSPS,CORE2013,C,No,0801,,
660,IEEE International Conference on Intelligent Computer Communication and Processing,ICCP,CORE2013,C,No,0801,,
661,IEEE International Conference on Intelligent Systems,IEEE IS,CORE2013,C,No,0801,,
664,IEEE International Conference on Multimedia and Expo,ICME,CORE2013,B,No,0801,,
666,IEEE International Conference on Neural Networks,ICNN,CORE2013,B,No,0801,,
683,IEEE International Geoscience and Remote Sensing Symposium,IGARSS,CORE2013,C,No,0801,,
685,IEEE International Joint Conference on Neural Networks,IJCNN,CORE2013,A,No,0801,,
693,IEEE International Symposium on Artificial Life,IEEE Alife,CORE2013,A,No,0801,,
701,IEEE International Symposium on Multimedia,ISM,CORE2013,C,No,0801,,
712,IEEE International Workshop on Cellular Nanoscale Networks and Applications,CNNA,CORE2013,C,No,0801,,
715,IEEE International Workshop on Neural Networks for Signal Processing,NNSP,CORE2013,C,No,0801,,
720,IEEE International Working Conference on Software Visualisation,VISSOFT,CORE2013,B,No,0801,,
724,IEEE Pacific Visualization Symposium (was APVIS),PacificVis,CORE2013,B,Yes,0801,,
727,IEEE Swarm Intelligence Symposium,IEEE SIS,CORE2013,C,No,0801,,
728,IEEE Symposium on 3D User Interfaces,3DUI,CORE2013,B,No,0801,,
731,IEEE Symposium on Computational Intelligence and Data Mining,CIDM,CORE2013,C,No,0801,0804,
732,Conference on Games (was Computational Intelligence and Games CIG),COG,CORE2013,C,No,0801,,
733,IEEE Symposium on Computational Intelligence for Financial Engineering,IEEE CIFEr,CORE2013,C,No,0801,,
734,IEEE Symposium on Computational intelligence for Image Processing,IEEE CIIP,CORE2013,C,No,0801,,
735,IEEE Symposium on Computational intelligence for Multimedia Signal and Vision Processing,IEEE CIMSIVP,CORE2013,C,No,0801,,
736,IEEE Symposium on Computational Intelligence for Security and Defence Applications,IEEE CISDA,CORE2013,C,No,0801,,
737,IEEE Symposium on Computational Intelligence in Bioinformatics and Computational Biology,CIBCB,CORE2013,C,No,0801,,
738,IEEE Symposium on Computational Intelligence in Control and Automation,IEEE CICA,CORE2013,C,No,0801,,
739,IEEE Symposium on Computational Intelligence in Cyber Security,IEEE CICS,CORE2013,C,No,0801,0805,
740,IEEE Symposium on Computational Intelligence in Image and Signal Processing,CIISP,CORE2013,C,No,0801,,
741,IEEE Symposium on Computational Intelligence in Multi-Criteria Decision-Making,IEEE MCDM,CORE2013,C,No,0801,,
742,IEEE Symposium on Computational Intelligence in Scheduling,IEEE CI-Sched,CORE2013,C,No,0801,,
747,IEEE Symposium on Intelligent Agents,IEEE IA,CORE2013,C,No,0801,,
758,IEEE Conference on Virtual Reality and 3D User Interfaces,VR,CORE2013,B,Yes,0801,,
759,IEEE Visualization,IEEE VIS,CORE2013,A,No,0801,,
764,IEEE Workshop on Computational Intelligence for Visual Intelligence,IEEE CIVI,CORE2013,C,No,0801,,
765,IEEE Workshop on Computational Intelligence in Aerospace Applications,IEEE CIAA,CORE2013,C,No,0801,,
766,"IEEE Workshop on Computational Intelligence in Biometrics: Theory, Algorithms, and Applications",IEEE CIB,CORE2013,C,No,0801,,
767,IEEE Workshop on Computational Intelligence in Vehicles and Vehicular Systems,IEEE CIWS,CORE2013,C,No,0801,,
768,IEEE Workshop on Computational Intelligence in Virtual Environments,IEEE CIVE,CORE2013,C,No,0801,,
769,IEEE Workshop on Evolvable and Adaptive Hardware,IEEE WEAH,CORE2013,C,No,0801,,
770,IEEE Workshop on Evolving and Self-Developing Intelligent Systems,IEEE ESDIS,CORE2013,C,No,0801,,
773,IEEE Workshop on Hybrid Intelligent Models and Applications,IEEE HIMA,CORE2013,C,No,0801,,
774,IEEE Workshop on Memetic Algorithms,IEEE WOMA,CORE2013,C,No,0801,,
776,IEEE Workshop on Organic Computing,IEEE OC,CORE2013,C,No,0801,,
777,IEEE Workshop on Robotic Intelligence in Informationally Structured Space,IEEE RiiSS,CORE2013,C,No,0801,,
778,IEEE Workshop on Speech Coding,SCW,CORE2013,C,No,0801,,
785,IEEE/ACM International Symposium on Mixed and Augmented Reality,ISMAR,CORE2013,A*,No,0801,,
794,IEEE/WIC/ACM International Joint Conferences on Web Inteligence and Intelligent Agent Technology,WI-IAT,CORE2013,C,Yes,0801,,
798,IFIP Conference on Biologically Inspired Collaborative Computing,BICC,CORE2013,C,No,0801,,
814,IFSA World Congress,IFSA,CORE2013,B,No,0801,,
817,Image and Vision Computing Conference,IVCNZ,CORE2013,"Australasian (missed in 2013, modified 2019)",No,0801,,
831,Information Visualisation Theory and Practice,InfVis,CORE2013,C,No,0801,,
832,Information Visualization Evaluation,IVE,CORE2013,C,No,0801,,
833,Information Visualization in Biomedical Informatics,IVBI,CORE2013,C,No,0801,,
836,Innovative Applications in AI,IAAI,CORE2013,B,No,0801,,
843,Integration of Software Engineering and Agent Technology,ISEAT,CORE2013,B,No,0801,0803,
844,"Intelligence Tools, Data Mining, Visualization",IDV,CORE2013,C,No,0801,,
849,Intelligent Virtual Agents,IVA,CORE2013,B,Yes,0801,,
860,International Atlantic Web Intelligence Conference,AWIC,CORE2013,C,No,0801,,
863,International Cognitive Robotics Conference,COGROBO,CORE2013,B,No,0801,,
865,"International Colloquium on Data Sciences, Knowledge Discovery and Business Intelligence",DSKDB,CORE2013,C,No,0801,,
874,"International Conference Computer Graphics, Imaging and Visualization",CGIV,CORE2013,C,No,0801,,
876,International Conference Formal Concept Analysis Conference,ICFCA,CORE2013,C,No,0801,,
877,"International Conference Imaging Science, Systems and Technology",CISST,CORE2013,C,No,0801,,
884,International Conference on 3G Mobile Communication Technologies,3G,CORE2013,C,No,0801,,
